damageDealtToTurrets,neutralMinionsKilledTeamJungle,quadraKills,magicalDamageTaken,season,firstTowerKill,firstInhibitorKill,perk2Var2,firstTowerAssist,perk2,role,win,unrealKills,perk3,doubleKills,item2,item5,lane,largestCriticalStrike,totalDamageDealt,perk2Var3,playerScore7,perk0Var1,damageDealtToObjectives,neutralMinionsKilledEnemyJungle,tripleKills,magicDamageDealt,totalTimeCrowdControlDealt,totalMinionsKilled,trueDamageTaken,totalUnitsHealed,perk0,playerScore6,timestamp,firstBloodAssist,trueDamageDealt,perk2Var1,perk1Var2,champion,killingSprees,perk4,gameId,perk5,visionScore,assists,perk1Var1,perk5Var3,magicDamageDealtToChampions,perk0Var3,champLevel,firstInhibitorAssist,item3,perk5Var1,perk3Var1,physicalDamageDealt,participantId,perk0Var2,longestTimeSpentLiving,playerScore4,largestMultiKill,item4,totalPlayerScore,queue,objectivePlayerScore,firstBloodKill,totalDamageTaken,item1,playerScore9,timeCCingOthers,item6,inhibitorKills,damageSelfMitigated,playerScore2,wardsPlaced,goldSpent,pentaKills,playerScore8,perk3Var3,physicalDamageTaken,perk4Var3,perk1Var3,visionWardsBoughtInGame,totalDamageDealtToChampions,physicalDamageDealtToChampions,perk3Var2,playerScore3,playerScore5,playerScore0,perk4Var1,totalHeal,goldEarned,perk1,sightWardsBoughtInGame,playerScore1,neutralMinionsKilled,item0,perkSubStyle,perkPrimaryStyle,combatPlayerScore,kills,perk4Var2,deaths,trueDamageDealtToChampions,wardsKilled,largestKillingSpree,totalScoreRank,platformId,perk5Var2,turretKills
170,57,0,1537,11,True,,10,False,9104,NONE,True,0,8014,0,3047,0,JUNGLE,0,90659,0,0,44,17218,4,0,17274,560,29,230,1,8010,0,1531539514740,False,9648,15,0,24,1,8135,2825632541,8143,17,5,452,0,1299,0,12,,3124,151,141,63735,2,0,787,0,1,0,0,420,0,False,13129,2031,0,13,3340,0,7688,0,5,7175,0,0,0,11361,0,0,0,5327,3362,0,0,0,0,4,5817,7740,9111,0,0,84,1416,8100,8000,0,3,0,2,665,1,2,0,NA1,0,2
1302,27,0,1879,11,False,,50,False,9104,DUO_SUPPORT,True,0,8014,0,3047,0,NONE,0,65196,0,0,164,17469,8,0,11536,467,22,0,1,8010,0,1531537638834,False,7336,11,0,24,1,8135,2825624638,8143,13,2,227,0,785,0,9,,1043,118,66,46323,3,0,884,0,1,1037,0,440,0,False,10223,2031,0,12,3340,0,5355,0,4,5750,0,0,0,8344,0,0,0,3836,2211,0,0,0,0,2,4809,6199,9111,0,0,68,1416,8100,8000,0,3,0,1,839,0,3,0,NA1,0,0
6381,60,0,20923,11,False,False,20,False,9104,NONE,False,0,8014,1,3153,3211,JUNGLE,0,285004,0,0,2701,21526,5,0,53979,92,168,1252,1,8010,0,1531476202712,False,44918,13,0,24,2,8135,2825301428,8143,0,1,434,0,4902,0,17,False,3124,732,497,186106,1,0,393,0,2,3194,0,470,0,False,42519,3111,0,22,3348,3,33443,0,,15475,0,0,0,20342,0,0,0,29014,16878,0,0,0,0,4,11978,15739,9111,0,0,67,1419,8100,8000,0,7,0,12,7233,,2,0,NA1,0,3
0,45,0,3846,11,False,False,10,False,9104,DUO_SUPPORT,False,0,8014,0,2031,1052,NONE,0,76951,0,0,222,0,0,0,2580,0,48,509,1,8010,0,1531463157113,False,4265,17,0,11,2,8135,2825255123,8143,0,0,323,0,0,0,12,False,3006,239,149,70105,6,0,385,0,1,1037,0,470,0,False,15849,1043,0,0,3348,0,7448,0,,6185,0,0,0,11492,0,0,0,7988,5750,0,0,0,0,2,4444,7011,9111,0,0,45,1419,8100,8000,0,4,0,6,2238,,2,0,NA1,0,0
3224,78,0,10709,11,False,True,10,False,9104,NONE,True,0,8014,1,3153,1051,JUNGLE,582,162267,0,0,559,3224,7,1,5088,3998,85,622,1,8010,0,1531382321917,False,14085,11,0,11,3,8135,2824543873,8143,0,3,1031,0,215,0,15,False,3124,469,275,143093,3,0,455,0,3,3006,0,470,0,False,25569,2031,0,0,3348,2,13627,0,,10775,0,0,0,14236,0,0,0,14291,9785,0,0,0,0,5,12644,12844,9111,0,0,85,1419,8100,8000,0,9,0,5,4291,,3,0,NA1,0,2
3252,0,0,20375,11,False,False,0,False,8234,NONE,True,0,8236,0,3800,1031,JUNGLE,0,101212,0,0,1054,3372,2,0,73857,626,94,834,1,8229,0,1531285682864,False,17835,57,0,31,0,9111,2823886219,8014,13,9,773,0,8569,0,19,False,3065,112,24,9519,3,0,267,0,1,3194,0,900,0,False,38163,3111,0,69,3340,0,37914,0,6,11650,0,0,0,16953,0,0,0,16804,1096,0,0,0,0,1239,3202,13802,8224,0,0,2,1011,8000,8200,0,3,0,12,7137,2,0,0,NA1,0,0
20363,8,0,6008,11,False,True,20,False,9104,DUO_SUPPORT,True,0,8014,3,3095,0,NONE,652,128604,0,0,2068,20363,4,0,3248,286,121,781,1,8021,0,1531261133766,False,4532,10,0,498,1,8135,2823622495,8139,10,4,953,0,1044,0,16,False,3094,788,607,120824,2,0,203,0,2,1038,0,900,0,False,12085,3006,0,16,3340,1,4278,0,5,10300,0,0,0,5295,0,0,0,23373,21911,0,0,0,0,5,3599,14537,9111,0,0,16,1038,8100,8000,0,12,0,3,418,0,11,0,NA1,0,6
4921,0,0,9724,11,False,False,0,False,8234,DUO_SUPPORT,True,0,8236,1,3115,3135,NONE,0,72780,0,0,1171,5199,0,0,63019,640,79,1166,1,8214,0,1531203771800,False,0,33,0,17,2,9111,2823344661,8014,3,17,642,0,18988,0,15,False,3047,462,8,9761,2,0,402,0,2,3091,0,900,0,False,16384,3151,0,38,3340,0,5776,0,3,12750,0,0,0,5494,0,0,0,21198,2209,0,0,0,0,1444,1184,13506,8224,0,0,0,1056,8000,8200,0,7,0,7,0,0,3,0,NA1,0,2
7780,0,0,15074,11,False,False,0,True,8138,DUO_CARRY,False,0,8135,0,3142,3071,BOTTOM,0,194395,0,0,2186,7780,4,0,4026,499,223,345,1,8112,0,1531121493807,False,951,18,0,238,3,9111,2822494400,8014,10,4,1048,0,820,0,23,False,3194,679,4,189417,5,0,374,0,1,3111,0,900,0,False,29917,3156,0,6,3340,0,37872,0,7,16600,0,0,0,14497,0,0,0,30387,28976,0,0,0,0,1078,5385,18284,8143,0,0,4,3147,8000,8100,0,9,0,9,589,0,2,0,NA1,0,2
12671,5,0,14368,11,False,False,10,False,9104,DUO_CARRY,False,0,8014,1,3153,3742,TOP,967,196631,0,0,1001,20348,0,0,33631,104,169,38,1,8010,0,1531118484631,False,13768,12,0,77,1,8135,2822487474,8139,18,2,440,0,2167,0,20,False,3031,1269,544,149231,1,0,186,0,2,3006,0,900,0,False,31641,3087,0,23,3340,2,14981,0,10,17400,0,0,0,17235,0,0,0,27060,20159,0,0,0,0,4,4263,17382,9111,0,0,20,3095,8100,8000,0,8,0,14,4733,0,2,0,NA1,0,4
